Lgsn	Lgsn
4930521A18Rik	4930521A18Rik
Gm4850	Gm4850
Khdrbs2	Khdrbs2
Gm9839	Gm9839
Gm5415	Gm5415
Prim2	Prim2
1700001G17Rik	1700001G17Rik
Rab23	Rab23
Bag2	Bag2
Zfp451	Zfp451
Gm15455	Gm15455
Bend6	Bend6
Dst	Dst
Mir5103	Mir5103
Ccdc115	Ccdc115
Imp4	Imp4
Ptpn18	Ptpn18
Prss39	Prss39
Cfc1	Cfc1
Prss40	Prss40
Fam123c	Fam123c
AA619741	AA619741
Arhgef4	Arhgef4
Fam168b	Fam168b
Plekhb2	Plekhb2
Hs6st1	Hs6st1
Uggt1	Uggt1
Neurl3	Neurl3
Arid5a	Arid5a
4632411B12Rik	4632411B12Rik
Lman2l	Lman2l
Cnnm4	Cnnm4
Cnnm3	Cnnm3
Ankrd23	Ankrd23
Ankrd39	Ankrd39
Sema4c	Sema4c
Fam178b	Fam178b
Cox5b	Cox5b
Actr1b	Actr1b
4933424G06Rik	4933424G06Rik
Zap70	Zap70
Tmem131	Tmem131
Cnga3	Cnga3
Inpp4a	Inpp4a
6330578E17Rik	6330578E17Rik
Unc50	Unc50
Mgat4a	Mgat4a
4930594C11Rik	4930594C11Rik
2010300C02Rik	2010300C02Rik
Tsga10	Tsga10
Lipt1	Lipt1
Mitd1	Mitd1
Mrpl30	Mrpl30
Lyg2	Lyg2
Lyg1	Lyg1
Txndc9	Txndc9
Eif5b	Eif5b
Rev1	Rev1
Aff3	Aff3
Lonrf2	Lonrf2
Chst10	Chst10
Nms	Nms
Pdcl3	Pdcl3
Npas2	Npas2
Rpl31	Rpl31
Tbc1d8	Tbc1d8
D1Bwg0212e	D1Bwg0212e
Snord89	Snord89
Rnf149	Rnf149
Creg2	Creg2
Rfx8	Rfx8
Gm3646	Gm3646
1700066B17Rik	1700066B17Rik
Map4k4	Map4k4
Gm16894	Gm16894
Il1r2	Il1r2
Il1r1	Il1r1
Il1rl2	Il1rl2
Il1rl1	Il1rl1
Il18r1	Il18r1
Il18rap	Il18rap
Slc9a4	Slc9a4
Slc9a2	Slc9a2
Mfsd9	Mfsd9
Tmem182	Tmem182
4930448I06Rik	4930448I06Rik
2610017I09Rik	2610017I09Rik
Pou3f3	Pou3f3
2900092D14Rik	2900092D14Rik
Mrps9	Mrps9
Gpr45	Gpr45
Tgfbrap1	Tgfbrap1
AI597479	AI597479
Fhl2	Fhl2
Nck2	Nck2
1500015O10Rik	1500015O10Rik
Uxs1	Uxs1
Tpp2	Tpp2
A530098C11Rik	A530098C11Rik
1700029F09Rik	1700029F09Rik
Kdelc1	Kdelc1
Bivm	Bivm
Ercc5	Ercc5
4832428D23Rik	4832428D23Rik
Gulp1	Gulp1
4930521E06Rik	4930521E06Rik
Col3a1	Col3a1
Col5a2	Col5a2
Wdr75	Wdr75
Slc40a1	Slc40a1
Gm3852	Gm3852
Gm4776	Gm4776
Dnahc7b	Dnahc7b
Slc39a10	Slc39a10
Tmeff2	Tmeff2
